,User,Day in Study,Time of Day,Brush Time,Day Type,Proportion Brushed In Past 7 Days
0,P2_012,1,0,23.0,0,0.0
1,P2_012,1,1,127.0,0,0.0
2,P2_012,2,0,136.0,0,0.0
3,P2_012,2,1,150.0,0,0.0
4,P2_012,3,0,181.0,0,0.0
5,P2_012,3,1,151.0,0,0.0
6,P2_012,4,0,152.0,0,0.0
7,P2_012,4,1,152.0,0,0.0
8,P2_012,5,0,153.0,0,0.0
9,P2_012,5,1,154.0,0,0.0
10,P2_012,6,0,156.0,1,0.0
11,P2_012,6,1,151.0,1,0.0
12,P2_012,7,0,153.0,1,0.0
13,P2_012,7,1,151.0,1,0.0
14,P2_012,8,0,151.0,0,1.0
15,P2_012,8,1,154.0,0,1.0
16,P2_012,9,0,181.0,0,1.0
17,P2_012,9,1,156.0,0,1.0
18,P2_012,10,0,158.0,0,1.0
19,P2_012,10,1,151.0,0,1.0
20,P2_012,11,0,153.0,0,1.0
21,P2_012,11,1,0.0,0,1.0
22,P2_012,12,0,154.0,0,0.9285714285714286
23,P2_012,12,1,152.0,0,0.9285714285714286
24,P2_012,13,0,151.0,1,0.9285714285714286
25,P2_012,13,1,152.0,1,0.9285714285714286
26,P2_012,14,0,156.0,1,0.9285714285714286
27,P2_012,14,1,152.0,1,0.9285714285714286
28,P2_012,15,0,154.0,0,0.9285714285714286
29,P2_012,15,1,153.0,0,0.9285714285714286
30,P2_012,16,0,157.0,0,0.9285714285714286
31,P2_012,16,1,153.0,0,0.9285714285714286
32,P2_012,17,0,155.0,0,0.9285714285714286
33,P2_012,17,1,151.0,0,0.9285714285714286
34,P2_012,18,0,154.0,0,0.9285714285714286
35,P2_012,18,1,126.0,0,0.9285714285714286
36,P2_012,19,0,210.0,0,1.0
37,P2_012,19,1,151.0,0,1.0
38,P2_012,20,0,0.0,1,1.0
39,P2_012,20,1,181.0,1,0.9285714285714286
40,P2_012,21,0,180.0,1,0.9285714285714286
41,P2_012,21,1,151.0,1,0.9285714285714286
42,P2_012,22,0,152.0,0,0.9285714285714286
43,P2_012,22,1,151.0,0,0.9285714285714286
44,P2_012,23,0,151.0,0,0.9285714285714286
45,P2_012,23,1,154.0,0,0.9285714285714286
46,P2_012,24,0,181.0,0,0.9285714285714286
47,P2_012,24,1,0.0,0,0.9285714285714286
48,P2_012,25,0,150.0,0,0.8571428571428571
49,P2_012,25,1,124.0,0,0.8571428571428571
50,P2_012,26,0,151.0,0,0.8571428571428571
51,P2_012,26,1,0.0,0,0.8571428571428571
52,P2_012,27,0,0.0,1,0.7857142857142857
53,P2_012,27,1,151.0,1,0.7857142857142857
54,P2_012,28,0,0.0,1,0.7857142857142857
55,P2_012,28,1,126.0,1,0.7142857142857143
56,P2_013,1,0,158.0,0,0.0
57,P2_013,1,1,0.0,0,0.0
58,P2_013,2,0,160.0,0,0.0
59,P2_013,2,1,103.0,0,0.0
60,P2_013,3,0,111.0,0,0.0
61,P2_013,3,1,0.0,0,0.0
62,P2_013,4,0,112.0,0,0.0
63,P2_013,4,1,0.0,0,0.0
64,P2_013,5,0,0.0,1,0.0
65,P2_013,5,1,0.0,1,0.0
66,P2_013,6,0,0.0,1,0.0
67,P2_013,6,1,0.0,1,0.0
68,P2_013,7,0,0.0,0,0.0
69,P2_013,7,1,0.0,0,0.0
70,P2_013,8,0,0.0,0,0.35714285714285715
71,P2_013,8,1,0.0,0,0.2857142857142857
72,P2_013,9,0,118.0,0,0.2857142857142857
73,P2_013,9,1,0.0,0,0.2857142857142857
74,P2_013,10,0,123.0,0,0.21428571428571427
75,P2_013,10,1,0.0,0,0.21428571428571427
76,P2_013,11,0,99.0,0,0.21428571428571427
77,P2_013,11,1,0.0,0,0.21428571428571427
78,P2_013,12,0,120.0,1,0.21428571428571427
79,P2_013,12,1,0.0,1,0.2857142857142857
80,P2_013,13,0,142.0,1,0.2857142857142857
81,P2_013,13,1,59.0,1,0.35714285714285715
82,P2_013,14,0,125.0,0,0.42857142857142855
83,P2_013,14,1,0.0,0,0.5
84,P2_013,15,0,114.0,0,0.5
85,P2_013,15,1,0.0,0,0.5714285714285714
86,P2_013,16,0,116.0,0,0.5714285714285714
87,P2_013,16,1,0.0,0,0.5714285714285714
88,P2_013,17,0,99.0,0,0.5714285714285714
89,P2_013,17,1,0.0,0,0.5714285714285714
